id,title,difficulty,free/premium,frequency,tags
336,Palindrome Pairs,HARD,free,100.0,"Array, Hash Table, String, Trie"
251,Flatten 2D Vector,MEDIUM,premium,92.3,"Array, Two Pointers, Design, Iterator"
39,Combination Sum,MEDIUM,free,91.3,"Array, Backtracking"
68,Text Justification,HARD,free,87.8,"Array, String, Simulation"
269,Alien Dictionary,HARD,premium,87.8,"Array, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort"
755,Pour Water,MEDIUM,premium,86.5,"Array, Simulation"
773,Sliding Puzzle,HARD,free,86.5,"Array, Dynamic Programming, Backtracking, Breadth-First Search, Memoization, Matrix"
787,Cheapest Flights Within K Stops,MEDIUM,free,86.5,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path"
1257,Smallest Common Region,MEDIUM,premium,86.5,"Array, Hash Table, String, Tree, Depth-First Search, Breadth-First Search"
1235,Maximum Profit in Job Scheduling,HARD,free,86.5,"Array, Binary Search, Dynamic Programming, Sorting"
42,Trapping Rain Water,HARD,free,83.7,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
76,Minimum Window Substring,HARD,free,83.7,"Hash Table, String, Sliding Window"
864,Shortest Path to Get All Keys,HARD,free,80.5,"Array, Bit Manipulation, Breadth-First Search, Matrix"
751,IP to CIDR,MEDIUM,premium,78.7,"String, Bit Manipulation"
759,Employee Free Time,HARD,premium,78.7,"Array, Sorting, Heap (Priority Queue)"
1,Two Sum,EASY,free,76.8,"Array, Hash Table"
160,Intersection of Two Linked Lists,EASY,free,76.8,"Hash Table, Linked List, Two Pointers"
198,House Robber,MEDIUM,free,76.8,"Array, Dynamic Programming"
212,Word Search II,HARD,free,76.8,"Array, String, Backtracking, Trie, Matrix"
227,Basic Calculator II,MEDIUM,free,76.8,"Math, String, Stack"
756,Pyramid Transition Matrix,MEDIUM,free,76.8,"Bit Manipulation, Depth-First Search, Breadth-First Search"
2,Add Two Numbers,MEDIUM,free,74.6,"Linked List, Math, Recursion"
10,Regular Expression Matching,HARD,free,74.6,"String, Dynamic Programming, Recursion"
20,Valid Parentheses,EASY,free,74.6,"String, Stack"
23,Merge k Sorted Lists,HARD,free,74.6,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
108,Convert Sorted Array to Binary Search Tree,EASY,free,74.6,"Array, Divide and Conquer, Tree, Binary Search Tree, Binary Tree"
136,Single Number,EASY,free,74.6,"Array, Bit Manipulation"
190,Reverse Bits,EASY,free,74.6,"Divide and Conquer, Bit Manipulation"
202,Happy Number,EASY,free,74.6,"Hash Table, Math, Two Pointers"
217,Contains Duplicate,EASY,free,74.6,"Array, Hash Table, Sorting"
219,Contains Duplicate II,EASY,free,74.6,"Array, Hash Table, Sliding Window"
220,Contains Duplicate III,HARD,free,74.6,"Array, Sliding Window, Sorting, Bucket Sort, Ordered Set"
221,Maximal Square,MEDIUM,free,74.6,"Array, Dynamic Programming, Matrix"
385,Mini Parser,MEDIUM,free,74.6,"String, Stack, Depth-First Search"
415,Add Strings,EASY,free,74.6,"Math, String, Simulation"
1058,Minimize Rounding Error to Meet Target,MEDIUM,premium,74.6,"Array, Math, String, Greedy, Sorting"
1017,Convert to Base -2,MEDIUM,free,74.6,Math
1041,Robot Bounded In Circle,MEDIUM,free,74.6,"Math, String, Simulation"
1166,Design File System,MEDIUM,premium,74.6,"Hash Table, String, Design, Trie"
2189,Number of Ways to Build House of Cards,MEDIUM,premium,74.6,"Math, Dynamic Programming"
1284,Minimum Number of Flips to Convert Binary Matrix to Zero Matrix,HARD,free,74.6,"Array, Hash Table, Bit Manipulation, Breadth-First Search, Matrix"
1298,Maximum Candies You Can Get from Boxes,HARD,free,74.6,"Array, Breadth-First Search, Graph"
1557,Minimum Number of Vertices to Reach All Nodes,MEDIUM,free,74.6,Graph
1554,Strings Differ by One Character,MEDIUM,premium,74.6,"Hash Table, String, Rolling Hash, Hash Function"
2043,Simple Bank System,MEDIUM,free,54.2,"Array, Hash Table, Design, Simulation"
322,Coin Change,MEDIUM,free,47.8,"Array, Dynamic Programming, Breadth-First Search"
341,Flatten Nested List Iterator,MEDIUM,free,47.8,"Stack, Tree, Depth-First Search, Design, Queue, Iterator"
348,Design Tic-Tac-Toe,MEDIUM,premium,47.8,"Array, Hash Table, Design, Matrix, Simulation"
1091,Shortest Path in Binary Matrix,MEDIUM,free,47.8,"Array, Breadth-First Search, Matrix"
56,Merge Intervals,MEDIUM,free,38.9,"Array, Sorting"
210,Course Schedule II,MEDIUM,free,38.9,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
727,Minimum Window Subsequence,HARD,premium,38.9,"String, Dynamic Programming, Sliding Window"
981,Time Based Key-Value Store,MEDIUM,free,38.9,"Hash Table, String, Binary Search, Design"
1387,Sort Integers by The Power Value,MEDIUM,free,38.9,"Dynamic Programming, Memoization, Sorting"
3076,Shortest Uncommon Substring in an Array,MEDIUM,free,38.9,"Array, Hash Table, String, Trie"
